#Tree ,MAE,RMSE,Correlation coefficient
8,24.012843928209097,26.522637895709394,0.32925731681328246
9,22.770140552475432,24.84252861719132,0.3456434427932815
10,23.891062390834996,25.91937598234837,0.2914167367278221
11,24.23683379504342,26.954072414959743,0.2598186445353219
12,23.578826025646116,26.093322522909602,0.27015122565799304
13,24.32209765393888,27.117787581276115,0.23075629660819827
14,23.145136759087144,25.925342741575847,0.25521938167039154
15,22.59815690945338,25.189041500328536,0.27864555012619413
16,22.205639387917298,24.67634653654035,0.29502091185368096
17,23.25807308152132,25.6375193570592,0.2768202571423012
18,23.08799130438365,25.47876704225265,0.2853732685567235
19,22.773964934939332,25.1927660325041,0.3014548801793625
20,23.96674402373687,26.267922843456823,0.29492179871990987
21,24.321167851141084,26.652949965972084,0.27470957100936966
22,25.457224707760652,28.031183495874522,0.2444115624876431
23,24.727963299724188,27.395451244291195,0.2494154420504159
24,25.013335454284295,27.731132623594466,0.23370377057468417
25,25.92222819113215,28.89787400179312,0.2003445680304497
26,25.16604002468189,27.921852864697012,0.2141899222455416
27,24.64388901396619,27.267855976906436,0.22531818377296892
28,24.23588057300387,26.703521648442262,0.23235939410234202
29,24.08598941020583,26.51436643520425,0.23959596514273296
30,23.596072173727414,25.93556504146069,0.2470078248014914
31,23.21357428620158,25.39247283817881,0.25816311085325316
32,23.675683880101733,25.83132863203063,0.2605773735655743
33,23.288832757509457,25.395625195529544,0.27135679336858776
34,23.107017815873746,25.100516204760563,0.2777845674122611
35,23.23575989223987,25.37773053047492,0.26429398084028144
36,23.263033012494784,25.42730227060637,0.26783455689721564
37,23.89125603209277,26.155175195502107,0.24049531506540395
38,23.618033115210945,25.838612641932336,0.24589384305122977
39,23.358131996260298,25.479716545843075,0.2527422859201803
40,23.82039522315969,25.90891575665956,0.2540719560559303
41,24.000675748416523,26.126093072068045,0.24511885170113246
42,24.038393722458878,26.243489839357355,0.23858134806566952
43,23.724993754069672,25.920971265889317,0.24760250915906315
44,24.299835820489236,26.518695796480454,0.22873862165378403
45,23.995137834225478,26.239265338283836,0.22903672485139578
46,23.681794702384718,25.888532431099332,0.23684413546048674
47,23.716471073129167,25.98271551180388,0.2317268579525713
48,23.328701271983995,25.580742182993585,0.24030358233842955
49,23.02954532342211,25.267246322718872,0.24761485762571364
50,22.766027691647945,25.03024502987615,0.2504080587022889
51,22.527442531185876,24.705403387572225,0.2589878137147292
52,22.450520955127146,24.56436080315141,0.265461776555529
53,22.417099002890314,24.449834361162814,0.27017547886639925
54,22.332691500336427,24.306225234408682,0.27690080378025295
55,22.29651185279807,24.28273664308353,0.28157209875177625
56,22.392943280915375,24.443032201545606,0.2749881036294505
57,22.273792068373528,24.268540051021752,0.27954668811188066
58,22.206579273741607,24.170503527412965,0.2820747283141256
59,22.294053688669248,24.32213237707592,0.2735895685579431
60,22.58477798151949,24.735907520334635,0.2513919586051305
61,22.505208975657794,24.624330623175865,0.25584738267418355
62,22.388066970472504,24.495783392748795,0.26178419937254926
63,22.292935126530637,24.448008768240516,0.2612819002523716
64,22.338390984025157,24.527246750239776,0.2544567734302492
65,22.326531711097708,24.55669886465989,0.2506159271328989
66,22.4864926134243,24.83431590982607,0.23600404004784845
67,22.509392858904707,24.866954377641374,0.23575753440144595
68,22.4525320260219,24.76889424791471,0.23629085351046078
69,22.460295999845886,24.83794860372181,0.23167930574720327
70,22.361612758930985,24.714155797205848,0.2360843732730783
71,22.30818332830903,24.69663843420908,0.23386229648579157
72,22.343811285086858,24.785995188599294,0.22619089003833676
73,22.34306238852204,24.831955728563898,0.2193661600644239
74,22.188211910084263,24.636418278255803,0.22620889605246794
75,22.26417900283685,24.734847050758408,0.2212260528915238
76,22.18573771401129,24.61543952321769,0.231684841734632
77,22.23369973682257,24.71617544536008,0.22699265324199874
78,22.179476054353724,24.65609049382167,0.23077799397924936
79,22.025075615373638,24.477538060469602,0.24213378624783535
80,22.11495487950265,24.627636381036098,0.23406380144518407
81,22.142121418319547,24.719448022077636,0.22813794689351363
82,22.04219271898306,24.56482780879832,0.23253504461156002
83,21.966380194974153,24.456915064531728,0.237731717921543
84,21.85274397765277,24.309271775836084,0.24042115619626633
85,21.902926616932348,24.401351213318385,0.23534702297725982
86,21.927004343608843,24.363584602758817,0.24718753344685246
87,21.974491585068368,24.454647375589527,0.24172387968429648
88,21.89551196499869,24.333850511209796,0.24606685583429208
89,21.79877110020967,24.197415894654803,0.24902646835521508
90,21.777701321419528,24.143909143505642,0.25591679530523953
91,21.71372526934504,24.06087923283165,0.2604899142536869
92,21.694839303509674,24.02501808117008,0.2626898444993601
93,21.61532270408604,23.928552915537097,0.2660692391300697
94,21.692389655487514,24.0481143873793,0.2603330216169235
95,21.61754648601085,23.93615586693861,0.26442690856290285
96,21.56073490031552,23.86379632780095,0.2679197737971993
97,21.497666041091186,23.790500390521185,0.2712996125033504
98,21.458383358375205,23.73974780587811,0.2782077775125722
99,21.399827702700073,23.671124544716182,0.28116010065092545
